date,year,month,day,day_of_week,day_name,week_of_year,quarter,is_weekend,is_month_start,is_month_end,is_holiday,is_promotion,event_name,is_back_to_school,is_holiday_season
2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0,1,0,New Year,,
2022-01-02,2022,1,2,6,Sunday,52,1,1,0,0,0,0,,,
2022-01-03,2022,1,3,0,Monday,1,1,0,0,0,0,0,,,
2022-01-04,2022,1,4,1,Tuesday,1,1,0,0,0,0,0,,,
2022-01-05,2022,1,5,2,Wednesday,1,1,0,0,0,0,0,,,
2022-01-06,2022,1,6,3,Thursday,1,1,0,0,0,0,0,,,
2022-01-07,2022,1,7,4,Friday,1,1,0,0,0,0,0,,,
2022-01-08,2022,1,8,5,Saturday,1,1,1,0,0,0,0,,,
2022-01-09,2022,1,9,6,Sunday,1,1,1,0,0,0,0,,,
2022-01-10,2022,1,10,0,Monday,2,1,0,0,0,0,0,,,
2022-01-11,2022,1,11,1,Tuesday,2,1,0,0,0,0,0,,,
2022-01-12,2022,1,12,2,Wednesday,2,1,0,0,0,0,0,,,
2022-01-13,2022,1,13,3,Thursday,2,1,0,0,0,0,0,,,
2022-01-14,2022,1,14,4,Friday,2,1,0,0,0,0,0,,,
2022-01-15,2022,1,15,5,Saturday,2,1,1,0,0,0,0,,,
2022-01-16,2022,1,16,6,Sunday,2,1,1,0,0,0,0,,,
2022-01-17,2022,1,17,0,Monday,3,1,0,0,0,0,0,,,
2022-01-18,2022,1,18,1,Tuesday,3,1,0,0,0,0,0,,,
2022-01-19,2022,1,19,2,Wednesday,3,1,0,0,0,0,0,,,
2022-01-20,2022,1,20,3,Thursday,3,1,0,0,0,0,0,,,
2022-01-21,2022,1,21,4,Friday,3,1,0,0,0,0,0,,,
2022-01-22,2022,1,22,5,Saturday,3,1,1,0,0,0,0,,,
2022-01-23,2022,1,23,6,Sunday,3,1,1,0,0,0,0,,,
2022-01-24,2022,1,24,0,Monday,4,1,0,0,0,0,0,,,
2022-01-25,2022,1,25,1,Tuesday,4,1,0,0,0,0,0,,,
2022-01-26,2022,1,26,2,Wednesday,4,1,0,0,0,0,0,,,
2022-01-27,2022,1,27,3,Thursday,4,1,0,0,0,0,0,,,
2022-01-28,2022,1,28,4,Friday,4,1,0,0,0,0,0,,,
2022-01-29,2022,1,29,5,Saturday,4,1,1,0,0,0,0,,,
2022-01-30,2022,1,30,6,Sunday,4,1,1,0,0,0,0,,,
2022-01-31,2022,1,31,0,Monday,5,1,0,0,1,0,0,,,
2022-02-01,2022,2,1,1,Tuesday,5,1,0,1,0,0,0,,,
2022-02-02,2022,2,2,2,Wednesday,5,1,0,0,0,0,0,,,
2022-02-03,2022,2,3,3,Thursday,5,1,0,0,0,0,0,,,
2022-02-04,2022,2,4,4,Friday,5,1,0,0,0,0,0,,,
2022-02-05,2022,2,5,5,Saturday,5,1,1,0,0,0,0,,,
2022-02-06,2022,2,6,6,Sunday,5,1,1,0,0,0,0,,,
2022-02-07,2022,2,7,0,Monday,6,1,0,0,0,0,0,,,
2022-02-08,2022,2,8,1,Tuesday,6,1,0,0,0,0,0,,,
2022-02-09,2022,2,9,2,Wednesday,6,1,0,0,0,0,0,,,
2022-02-10,2022,2,10,3,Thursday,6,1,0,0,0,0,0,,,
2022-02-11,2022,2,11,4,Friday,6,1,0,0,0,0,0,,,
2022-02-12,2022,2,12,5,Saturday,6,1,1,0,0,0,0,,,
2022-02-13,2022,2,13,6,Sunday,6,1,1,0,0,0,0,,,
2022-02-14,2022,2,14,0,Monday,7,1,0,0,0,1,0,Valentine,,
2022-02-15,2022,2,15,1,Tuesday,7,1,0,0,0,0,0,,,
2022-02-16,2022,2,16,2,Wednesday,7,1,0,0,0,0,0,,,
2022-02-17,2022,2,17,3,Thursday,7,1,0,0,0,0,0,,,
2022-02-18,2022,2,18,4,Friday,7,1,0,0,0,0,0,,,
2022-02-19,2022,2,19,5,Saturday,7,1,1,0,0,0,0,,,
2022-02-20,2022,2,20,6,Sunday,7,1,1,0,0,0,0,,,
2022-02-21,2022,2,21,0,Monday,8,1,0,0,0,0,0,,,
2022-02-22,2022,2,22,1,Tuesday,8,1,0,0,0,0,0,,,
2022-02-23,2022,2,23,2,Wednesday,8,1,0,0,0,0,0,,,
2022-02-24,2022,2,24,3,Thursday,8,1,0,0,0,0,0,,,
2022-02-25,2022,2,25,4,Friday,8,1,0,0,0,0,0,,,
2022-02-26,2022,2,26,5,Saturday,8,1,1,0,0,0,0,,,
2022-02-27,2022,2,27,6,Sunday,8,1,1,0,0,0,0,,,
2022-02-28,2022,2,28,0,Monday,9,1,0,0,1,0,0,,,
2022-03-01,2022,3,1,1,Tuesday,9,1,0,1,0,0,0,,,
2022-03-02,2022,3,2,2,Wednesday,9,1,0,0,0,0,0,,,
2022-03-03,2022,3,3,3,Thursday,9,1,0,0,0,0,0,,,
2022-03-04,2022,3,4,4,Friday,9,1,0,0,0,0,0,,,
2022-03-05,2022,3,5,5,Saturday,9,1,1,0,0,0,0,,,
2022-03-06,2022,3,6,6,Sunday,9,1,1,0,0,0,0,,,
2022-03-07,2022,3,7,0,Monday,10,1,0,0,0,0,1,,,
2022-03-08,2022,3,8,1,Tuesday,10,1,0,0,0,0,1,,,
2022-03-09,2022,3,9,2,Wednesday,10,1,0,0,0,0,1,,,
2022-03-10,2022,3,10,3,Thursday,10,1,0,0,0,0,1,,,
2022-03-11,2022,3,11,4,Friday,10,1,0,0,0,0,1,,,
2022-03-12,2022,3,12,5,Saturday,10,1,1,0,0,0,1,,,
2022-03-13,2022,3,13,6,Sunday,10,1,1,0,0,0,1,,,
2022-03-14,2022,3,14,0,Monday,11,1,0,0,0,0,0,,,
2022-03-15,2022,3,15,1,Tuesday,11,1,0,0,0,0,0,,,
2022-03-16,2022,3,16,2,Wednesday,11,1,0,0,0,0,0,,,
2022-03-17,2022,3,17,3,Thursday,11,1,0,0,0,0,0,,,
2022-03-18,2022,3,18,4,Friday,11,1,0,0,0,0,0,,,
2022-03-19,2022,3,19,5,Saturday,11,1,1,0,0,0,0,,,
2022-03-20,2022,3,20,6,Sunday,11,1,1,0,0,0,0,,,
2022-03-21,2022,3,21,0,Monday,12,1,0,0,0,0,0,,,
2022-03-22,2022,3,22,1,Tuesday,12,1,0,0,0,0,0,,,
2022-03-23,2022,3,23,2,Wednesday,12,1,0,0,0,0,0,,,
2022-03-24,2022,3,24,3,Thursday,12,1,0,0,0,0,0,,,
2022-03-25,2022,3,25,4,Friday,12,1,0,0,0,0,0,,,
2022-03-26,2022,3,26,5,Saturday,12,1,1,0,0,0,0,,,
2022-03-27,2022,3,27,6,Sunday,12,1,1,0,0,0,0,,,
2022-03-28,2022,3,28,0,Monday,13,1,0,0,0,0,0,,,
2022-03-29,2022,3,29,1,Tuesday,13,1,0,0,0,0,0,,,
2022-03-30,2022,3,30,2,Wednesday,13,1,0,0,0,0,0,,,
2022-03-31,2022,3,31,3,Thursday,13,1,0,0,1,0,0,,,
2022-04-01,2022,4,1,4,Friday,13,2,0,1,0,0,0,,,
2022-04-02,2022,4,2,5,Saturday,13,2,1,0,0,0,0,,,
2022-04-03,2022,4,3,6,Sunday,13,2,1,0,0,0,0,,,
2022-04-04,2022,4,4,0,Monday,14,2,0,0,0,0,0,,,
2022-04-05,2022,4,5,1,Tuesday,14,2,0,0,0,0,0,,,
2022-04-06,2022,4,6,2,Wednesday,14,2,0,0,0,0,0,,,
2022-04-07,2022,4,7,3,Thursday,14,2,0,0,0,0,0,,,
2022-04-08,2022,4,8,4,Friday,14,2,0,0,0,0,0,,,
2022-04-09,2022,4,9,5,Saturday,14,2,1,0,0,1,0,Easter,,
2022-04-10,2022,4,10,6,Sunday,14,2,1,0,0,0,0,,,
2022-04-11,2022,4,11,0,Monday,15,2,0,0,0,0,0,,,
2022-04-12,2022,4,12,1,Tuesday,15,2,0,0,0,0,0,,,
2022-04-13,2022,4,13,2,Wednesday,15,2,0,0,0,0,0,,,
2022-04-14,2022,4,14,3,Thursday,15,2,0,0,0,0,0,,,
2022-04-15,2022,4,15,4,Friday,15,2,0,0,0,0,0,,,
2022-04-16,2022,4,16,5,Saturday,15,2,1,0,0,0,0,,,
2022-04-17,2022,4,17,6,Sunday,15,2,1,0,0,1,0,Easter,,
2022-04-18,2022,4,18,0,Monday,16,2,0,0,0,0,0,,,
2022-04-19,2022,4,19,1,Tuesday,16,2,0,0,0,0,0,,,
2022-04-20,2022,4,20,2,Wednesday,16,2,0,0,0,0,0,,,
2022-04-21,2022,4,21,3,Thursday,16,2,0,0,0,0,0,,,
2022-04-22,2022,4,22,4,Friday,16,2,0,0,0,0,0,,,
2022-04-23,2022,4,23,5,Saturday,16,2,1,0,0,0,0,,,
2022-04-24,2022,4,24,6,Sunday,16,2,1,0,0,0,0,,,
2022-04-25,2022,4,25,0,Monday,17,2,0,0,0,0,0,,,
2022-04-26,2022,4,26,1,Tuesday,17,2,0,0,0,0,0,,,
2022-04-27,2022,4,27,2,Wednesday,17,2,0,0,0,0,0,,,
2022-04-28,2022,4,28,3,Thursday,17,2,0,0,0,0,0,,,
2022-04-29,2022,4,29,4,Friday,17,2,0,0,0,0,0,,,
2022-04-30,2022,4,30,5,Saturday,17,2,1,0,1,0,0,,,
2022-05-01,2022,5,1,6,Sunday,17,2,1,1,0,0,0,,,
2022-05-02,2022,5,2,0,Monday,18,2,0,0,0,0,1,,,
2022-05-03,2022,5,3,1,Tuesday,18,2,0,0,0,0,1,,,
2022-05-04,2022,5,4,2,Wednesday,18,2,0,0,0,0,1,,,
2022-05-05,2022,5,5,3,Thursday,18,2,0,0,0,0,1,,,
2022-05-06,2022,5,6,4,Friday,18,2,0,0,0,0,1,,,
2022-05-07,2022,5,7,5,Saturday,18,2,1,0,0,0,1,,,
2022-05-08,2022,5,8,6,Sunday,18,2,1,0,0,0,1,,,
2022-05-09,2022,5,9,0,Monday,19,2,0,0,0,0,0,,,
