date,product_id,stock_level,stock_before_sale,reorder_triggered,order_quantity
2022-01-01,SKU_0001,11638,11722,0,0
2022-01-02,SKU_0001,11586,11638,0,0
2022-01-03,SKU_0001,11515,11586,0,0
2022-01-04,SKU_0001,11450,11515,0,0
2022-01-06,SKU_0001,11388,11450,0,0
2022-01-07,SKU_0001,11321,11388,0,0
2022-01-08,SKU_0001,11268,11321,0,0
2022-01-09,SKU_0001,11223,11268,0,0
2022-01-10,SKU_0001,11161,11223,0,0
2022-01-11,SKU_0001,11087,11161,0,0
2022-01-12,SKU_0001,11015,11087,0,0
2022-01-13,SKU_0001,10947,11015,0,0
2022-01-14,SKU_0001,10885,10947,0,0
2022-01-15,SKU_0001,10836,10885,0,0
2022-01-16,SKU_0001,10787,10836,0,0
2022-01-17,SKU_0001,10724,10787,0,0
2022-01-18,SKU_0001,10656,10724,0,0
2022-01-19,SKU_0001,10601,10656,0,0
2022-01-20,SKU_0001,10540,10601,0,0
2022-01-22,SKU_0001,10487,10540,0,0
2022-01-23,SKU_0001,10438,10487,0,0
2022-01-24,SKU_0001,10379,10438,0,0
2022-01-25,SKU_0001,10314,10379,0,0
2022-01-26,SKU_0001,10249,10314,0,0
2022-01-27,SKU_0001,10192,10249,0,0
2022-01-28,SKU_0001,10123,10192,0,0
2022-01-29,SKU_0001,10077,10123,0,0
2022-01-30,SKU_0001,10028,10077,0,0
2022-01-31,SKU_0001,9965,10028,0,0
2022-02-01,SKU_0001,9890,9965,0,0
2022-02-02,SKU_0001,9824,9890,0,0
2022-02-03,SKU_0001,9755,9824,0,0
2022-02-04,SKU_0001,9700,9755,0,0
2022-02-05,SKU_0001,9656,9700,0,0
2022-02-06,SKU_0001,9613,9656,0,0
2022-02-07,SKU_0001,9552,9613,0,0
2022-02-08,SKU_0001,9495,9552,0,0
2022-02-09,SKU_0001,9424,9495,0,0
2022-02-10,SKU_0001,9358,9424,0,0
2022-02-12,SKU_0001,9309,9358,0,0
2022-02-13,SKU_0001,9254,9309,0,0
2022-02-14,SKU_0001,9156,9254,0,0
2022-02-15,SKU_0001,9097,9156,0,0
2022-02-16,SKU_0001,9038,9097,0,0
2022-02-17,SKU_0001,8962,9038,0,0
2022-02-18,SKU_0001,8901,8962,0,0
2022-02-19,SKU_0001,8855,8901,0,0
2022-02-20,SKU_0001,8791,8855,0,0
2022-02-21,SKU_0001,8717,8791,0,0
2022-02-23,SKU_0001,8654,8717,0,0
2022-02-24,SKU_0001,8574,8654,0,0
2022-02-25,SKU_0001,8515,8574,0,0
2022-02-26,SKU_0001,8452,8515,0,0
2022-02-27,SKU_0001,8388,8452,0,0
2022-02-28,SKU_0001,8313,8388,0,0
2022-03-01,SKU_0001,8247,8313,0,0
2022-03-02,SKU_0001,8173,8247,0,0
2022-03-03,SKU_0001,8092,8173,0,0
2022-03-04,SKU_0001,8014,8092,0,0
2022-03-05,SKU_0001,7964,8014,0,0
2022-03-06,SKU_0001,7906,7964,0,0
2022-03-07,SKU_0001,7836,7906,0,0
2022-03-08,SKU_0001,7694,7836,0,0
2022-03-09,SKU_0001,7627,7694,0,0
2022-03-10,SKU_0001,7508,7627,0,0
2022-03-12,SKU_0001,7425,7508,0,0
2022-03-13,SKU_0001,7327,7425,0,0
2022-03-14,SKU_0001,7243,7327,0,0
2022-03-15,SKU_0001,7182,7243,0,0
2022-03-16,SKU_0001,7109,7182,0,0
2022-03-17,SKU_0001,7037,7109,0,0
2022-03-18,SKU_0001,6963,7037,0,0
2022-03-19,SKU_0001,6902,6963,0,0
2022-03-20,SKU_0001,6839,6902,0,0
2022-03-21,SKU_0001,6754,6839,0,0
2022-03-22,SKU_0001,6667,6754,0,0
2022-03-23,SKU_0001,6597,6667,0,0
2022-03-24,SKU_0001,6524,6597,0,0
2022-03-25,SKU_0001,6460,6524,0,0
2022-03-26,SKU_0001,6403,6460,0,0
2022-03-27,SKU_0001,6336,6403,0,0
2022-03-28,SKU_0001,6260,6336,0,0
2022-03-29,SKU_0001,6179,6260,0,0
2022-03-30,SKU_0001,6091,6179,0,0
2022-03-31,SKU_0001,6016,6091,0,0
2022-04-01,SKU_0001,5931,6016,0,0
2022-04-02,SKU_0001,5881,5931,0,0
2022-04-03,SKU_0001,5817,5881,0,0
2022-04-04,SKU_0001,5730,5817,0,0
2022-04-05,SKU_0001,5667,5730,0,0
2022-04-06,SKU_0001,5596,5667,0,0
2022-04-08,SKU_0001,5517,5596,0,0
2022-04-09,SKU_0001,5416,5517,0,0
2022-04-10,SKU_0001,5365,5416,0,0
2022-04-11,SKU_0001,5277,5365,0,0
2022-04-12,SKU_0001,5200,5277,0,0
2022-04-13,SKU_0001,5130,5200,0,0
2022-04-14,SKU_0001,5043,5130,0,0
2022-04-15,SKU_0001,4957,5043,0,0
